work_id,state,constituency,work_category,risk_band,overall_risk,major_signals,explanation,recommended_action
WS/MP18162/2025-2026/178543,Rajasthan,BHILWARA,Normal/Others,CRITICAL,92.85714285714286,"RULE-013,RULE-014,RULE-015","Review priority is CRITICAL because Strong peer-relative anomaly on payment_event (robust z = 6.74); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 8.11); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); peer comparison indicates an unusual value relative to comparable works; the anomaly model ranks the work as unusual relative to works at the same lifecycle stage.",Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP18162/2024-2025/147231,Rajasthan,BHILWARA,Normal/Others,CRITICAL,92.85714285714286,"RULE-011,RULE-013,RULE-014,RULE-015",Review priority is CRITICAL because Strong peer-relative anomaly on expenditure (robust z = 20.54); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 98.3th percentile among comparable works (L3_work_category_state_constituency); peer comparison indicates an unusual value relative to comparable works; the anomaly model ranks the work as unusual relative to works at the same lifecycle stage.,Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP391/2025-2026/146422,Tamil Nadu,CHENNAI CENTRAL,Normal/Others,CRITICAL,92.85714285714286,"RULE-012,RULE-013,RULE-014,RULE-015",Review priority is CRITICAL because Strong peer-relative anomaly on sanction_amount (robust z = 18.54); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 12.34); A single vendor accounts for 100.0% of total disbursed expenditure across 2 payment events; peer comparison indicates an unusual value relative to comparable works; the anomaly model ranks the work as unusual relative to works at the same lifecycle stage.,Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP18162/2025-2026/178545,Rajasthan,BHILWARA,Normal/Others,CRITICAL,92.85714285714286,"RULE-013,RULE-014,RULE-015","Review priority is CRITICAL because Strong peer-relative anomaly on expenditure (robust z = 28.91); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); peer comparison indicates an unusual value relative to comparable works; the anomaly model ranks the work as unusual relative to works at the same lifecycle stage.",Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP378/2023-2024/1340,Punjab,HOSHIARPUR(SC),Normal/Others,CRITICAL,92.78379953379954,"RULE-011,RULE-013,RULE-015","Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 98.8th percentile among comparable works (L3_work_category_state_constituency); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.",Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP378/2023-2024/1962,Punjab,HOSHIARPUR(SC),Normal/Others,CRITICAL,92.6439393939394,"RULE-011,RULE-013,RULE-015","Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 37.27); Payment event count is at the 98.5th percentile among comparable works (L3_work_category_state_constituency); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.",Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP734/2024-2025/11676,Rajasthan,BHARATPUR(SC),Normal/Others,CRITICAL,92.5,"RULE-011,RULE-014,RULE-015",Review priority is CRITICAL because Strong peer-relative anomaly on rec_sanction_duration (robust z = 8.69); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 10.38); Payment event count is at the 100.0th percentile among comparable works (L3_work_category_state_constituency); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.,Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP378/2023-2024/2971,Punjab,HOSHIARPUR(SC),Normal/Others,CRITICAL,92.13111888111888,"RULE-011,RULE-013,RULE-015","Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 97.2th percentile among comparable works (L3_work_category_state_constituency); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.",Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP380/2023-2024/11952,Punjab,FATEHGARH SAHIB(SC),Normal/Others,CRITICAL,91.93995633187774,"RULE-011,RULE-013,RULE-015","Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 17.81); Payment event count is at the 96.7th percentile among comparable works (L3_work_category_state_constituency); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.",Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP726/2023-2024/12984,Rajasthan,GANGANAGAR(SC),Normal/Others,CRITICAL,91.5,"RULE-001,RULE-003,RULE-011,RULE-013,RULE-015",Review priority is CRITICAL because Recommended 1097 days ago with no sanction on file (threshold 365 days); Strong overall statistical anomaly on expenditure_to_recommended_ratio (robust z = 50.0); Payment event count is at the 100.0th percentile among comparable works (L3_work_category_state_constituency); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.,Review administrative status and confirm reason for delay; request updated timeline.
WS/MP18109/2026-2027/164962,Madhya Pradesh,SIDHI,Normal/Others,CRITICAL,91.5,"RULE-009,RULE-011,RULE-012,RULE-013,RULE-014,RULE-015",Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Strong peer-relative anomaly on exp_sanction_ratio (robust z = 5.46); Recommendation-to-sanction duration is at the 100.0th percentile among comparable works (L3_work_category_state_constituency); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.,Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP640/2026-2027/151611,Madhya Pradesh,MANDLA(ST),Normal/Others,CRITICAL,91.5,"RULE-011,RULE-012,RULE-013,RULE-014,RULE-015",Review priority is CRITICAL because Strong peer-relative anomaly on rec_sanction_duration (robust z = 13.67); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 97.3th percentile among comparable works (L3_work_category_state_constituency); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.,Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP021/2025-2026/177235,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Normal/Others,CRITICAL,91.5,"RULE-013,RULE-014,RULE-015","Review priority is CRITICAL because Strong peer-relative anomaly on exp_sanction_ratio (robust z = 50.0); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.",Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP540/2023-2024/8920,Assam,KARIMGANJ (SC),Normal/Others,CRITICAL,91.5,"RULE-009,RULE-011,RULE-013,RULE-015",Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Recommendation-to-sanction duration is at the 96.6th percentile among comparable works (L2_work_category_state); Payment event count is at the 100.0th percentile among comparable works (L2_work_category_state); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.,Review the flagged financial/duration figures against comparable works; request supporting documentation.
