state,mp_name,mp_name_normalized,constituency,allocated_amount,allocation_level,allocation_term,allocation_term_confidence,allocation_term_evidence,source_package,source_file,source_row_number,source_record_id,allocation_is_cumulative_or_aggregate
Karnataka,Bhagwanth Khuba,Bhagwanth Khuba,BIDAR,73563957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,48,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row48,True
Uttar Pradesh,Bhanu Pratap Singh Verma(17th Lok Sabha),Bhanu Pratap Singh Verma,JALAUN(SC),98438762.11,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,49,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row49,True
Gujarat,Bharatiben Dhirubhai Shyal,Bharatiben Dhirubhai Shyal,BHAVNAGAR,98063957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,50,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row50,True
Gujarat,Bharatsinhji Shankarji Dabhi,Bharatsinhji Shankarji Dabhi,PATAN,73563957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,51,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row51,True
Maharashtra,Bharti Pravin Pawar(17th Lok Sabha),Bharti Pravin Pawar,DINDORI(ST),98063957.11,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,52,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row52,True
Telangana,Bheemrao Baswanthrao Patil,Bheemrao Baswanthrao Patil,ZAHIRABAD,123156984.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,53,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row53,True
Uttar Pradesh,Bhola Singh(17th Lok Sabha),Bhola Singh,BULANDSHAHR(SC),73850844.36,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,54,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row54,True
Jharkhand,Bidyut Baran Mahato,Bidyut Baran Mahato,JAMSHEDPUR,73563957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,55,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row55,True
Odisha,Bishweswar Tudu(17th Lok Sabha),Bishweswar Tudu,MAYURBHANJ (ST),73000000.0,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,56,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row56,True
Uttar Pradesh,BP Saroj Bholanath,BP Saroj Bholanath,MACHHLISHAHR(SC),49574975.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,57,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row57,True
